Intel Pentium Gold G6405 4.1 GHz Dual-Core LGA 1200 Processor,7000৳,Add to Cart
Intel Core i3 6100 6th Gen Processor (Bulk),2400৳,Add to Cart
Intel 8th Generation Core i3-8100 Processor (Bulk),4600৳,Add to Cart
Intel Core i3 7100 7th Gen Processor (Bulk),2900৳,Add to Cart
Intel 3rd Generation Core i7-3770 (3.4 GHz) Processor,4300৳,Add to Cart
Intel Core i5 7400 7th Gen Processor (Bulk),6000৳,Add to Cart
Intel Core i5-6402P 2.8 GHz Quad-Core LGA 1151 Processor,6500৳,Add to Cart
Intel Core i7-4790K 4th Gen Processor,6500৳,Add to Cart
Intel Core i5 4570 4th Generation Processor TRAY,2200৳,Add to Cart
Intel Core i5 6400 6th Gen Processor (Bulk),4000৳,Add to Cart
Intel Core i5-3470 3rd Gen Processor,1900৳,Add to Cart
Intel Core i5 6500 6th gen 3.20GHz Processor (Tray),4700৳,Add to Cart
Intel Core i3 2120 Processor (Bulk),1200৳,Add to Cart
Intel Core i5 4460 4th Generation 3.2 GHz Processor TRAY,3500৳,Add to Cart
Intel Core i3 3220 Processor (Bulk),900৳,Add to Cart
Intel 4th Gen Core i7-4770 Processor,4800৳,Add to Cart
Intel Core i3-2100 2ND GEN 3.10 GHz Desktop Processor,900৳,Add to Cart
Intel Core i5-2400 2nd Gen 3.10 GHz Processor,1500৳,Add to Cart
Intel Core I3-4130 2 Core 4 Thread 4th Gen Processor (BULK),1100৳,Add to Cart
Intel Pentium Gold G6400 10th gen Coffee Lake Processor (BUNDLE),6500৳,Add to Cart
AMD Ryzen 5 Pro 4650G Processor with Radeon Graphics,12800৳,Add to Cart
Intel Core i5-7500 7th Gen Processor (BULK),8500৳,Add to Cart
Intel Core i7-6700 6th Gen Processor,8400৳,Add to Cart
Intel Core i5 9400F 9th Gen Processor,12000৳,Add to Cart
Intel Core i3 10100F 10th Gen Processor,9000৳,Add to Cart
Intel 9th Gen Core i3 9100 Processor,9500৳,Add to Cart
Intel 8th Generation Core i7-8700 Processor,13000৳,Add to Cart
Intel 9th Gen Core i5-9500 Processor (Tray),11999৳,Add to Cart
Intel 10th Gen Core i5-10400F Processor,12000৳,Add to Cart
Intel Core i5 8400 8th Gen Processor (Bulk),8999৳,Add to Cart
AMD Ryzen 5 5500 Processor,11500৳,Add to Cart
Intel Core i7 7700 7th Gen Processor ( bluk),9999৳,Add to Cart
Intel Pentium Gold G7400 Dual-Core 12th gen Processor,7000৳,Add to Cart
AMD RYZEN 5 3500 Processor,12500৳,Add to Cart
AMD Ryzen 5 4600G Processor with Radeon Graphics,12000৳,Add to Cart
AMD Ryzen 5 4500 Processor,12700৳,Add to Cart
Intel Core i3 10105F 10th Gen Processor (BUNDLE),8300৳,Add to Cart
AMD Ryzen 3 4100 Processor,10300৳,Add to Cart
INTEL CORE I5-9400 6 CORE 6 THREAD 9TH GEN PROCESSOR,11500৳,Add to Cart
Intel Core i3-12100F 12th Gen 3.3 GHz Quad-Core LGA1700 Processor,11000৳,Add to Cart
AMD Ryzen 3 PRO 4350G Processor,14500৳,Add to Cart
Intel Core i5 9600K 9th Gen Processor,17300৳,Add to Cart
Intel Core i3-12100 12th Gen Alder Lake Processor,14000৳,Add to Cart
Intel Core i5 10400 10th Gen Processor,17000৳,Add to Cart
Intel 8th Generation Core i7-8700K Processor,15500৳,Add to Cart
Intel Core i3 10105 10th Gen Comet Lake Processor,13500৳,Add to Cart
AMD RYZEN 5 3500X Processor (bundle),16500৳,Add to Cart
AMD Ryzen 3 3100 Desktop Processor With Wraith Stealth Cooling Solution (bundle),16000৳,Add to Cart
AMD Ryzen 7 5700X 3.4 GHz AM4 Processor,18500৳,Add to Cart
Intel Core i5 10500 10th Gen Processor,15000৳,Add to Cart
AMD Ryzen 3 3200G Processor with Radeon RX Vega 8 Graphics (bundle),14500৳,Add to Cart
Intel Core i5-12400F 12th Gen Alder Lake Processor,18000৳,Add to Cart
Intel Core i3 10100 10th Gen Processor,13000৳,Add to Cart
AMD Ryzen 5 5600 Desktop Processor,13300৳,Add to Cart
INTEL CORE I5 11400F 6 CORE 12 THREAD 11TH GEN PROCESSOR,15000৳,Add to Cart
INTEL CORE I5-11500 11TH GEN PROCESSOR (BUNDLE),17000৳,Add to Cart
AMD Ryzen 5 3600 Processor,17000৳,Add to Cart
Intel Core I3-13100 Cores 4 LGA1700 13th Gen Processor,16000৳,Add to Cart
Intel Core i3-13100F Desktop Processor,13500৳,Add to Cart
AMD RYZEN 5 5600G RADEON GRAPHICS PROCESSOR,13200৳,Add to Cart
INTEL CORE I7-9700 8 CORE 8 THREAD 9TH GEN PROCESSOR,25300৳,Add to Cart
AMD Ryzen 5 5600X Processor,19500৳,Add to Cart
AMD Ryzen Threadripper 1900X Desktop Processor,25500৳,Add to Cart
AMD RYZEN 7 5700G RADEON GRAPHICS PROCESSOR,20500৳,Add to Cart
AMD Ryzen 5 3400G Processor with Radeon RX Vega 11 Graphics (Bulk),19500৳,Add to Cart
AMD Ryzen 5 3600X Processor (bundle),20500৳,Add to Cart
Intel Core i5-12500 12th Gen Alder Lake Processor,24000৳,Add to Cart
AMD Ryzen 5 3400G Processor with Radeon RX Vega 11 Graphics(bundle),23000৳,Add to Cart
Intel Core i7 10700 10th Gen Processor,25000৳,Add to Cart
AMD Ryzen 5 7600 Gaming Processor,25800৳,Add to Cart
Intel Core i5-13400F 13th Gen Processor,24500৳,Add to Cart
AMD RYZEN 7 PRO 4700G PROCESSOR WITH RADEON GRAPHICS,21700৳,Add to Cart
INTEL CORE I5-11600K 11TH GEN ROCKET LAKE PROCESSOR,24200৳,Add to Cart
AMD Ryzen 7 Pro 4750G with Radeon RX Vega Graphics Processor,23500৳,Add to Cart
Intel 10th Gen Core i5-10600K Processor (BUNDLE),21000৳,Add to Cart
Intel Core I5-13400 13th Gen Raptor Lake Processor,26499৳,Add to Cart
INTEL CORE I5-11400 11TH GEN PROCESSOR,18500৳,Add to Cart
AMD Ryzen 7 5800X Processor,25500৳,Add to Cart
Intel Core i5-12400 12th Gen Alder Lake Processor,21000৳,Add to Cart
AMD Ryzen 5 7500F Processor,20500৳,Add to Cart
Intel Core i5-13600K 13th Gen Raptor Lake Desktop Processor,37000৳,Add to Cart
Intel Core i9 10850K 10th Gen Processor (BUNDLE),37800৳,Add to Cart
Intel Core i7-12700KF 3.6 GHz 12-Core LGA 1700 Processor,38800৳,Add to Cart
Intel Core i5-13500 13th Gen Processor,28500৳,Add to Cart
INTEL CORE I7-9700K 8 CORE 8 THREAD 9TH GEN PROCESSOR (BUNDLE),30500৳,Add to Cart
Intel Core i7-11700K 11th Gen Processor (Bundle),37000৳,Add to Cart
"Intel Core i7-12700F 12th Gen Alder Lake Processor (25M Cache, up to 4.90 GHz)",37200৳,Add to Cart
AMD Ryzen 7 1800X 3.6 GHz Eight-Core AM4 Processor,27500৳,Add to Cart
AMD Ryzen 5 7600X Processor,27500৳,Add to Cart
Intel Core i7-12700 12th Gen Alder Lake Processor,36000৳,Add to Cart
Intel Core i7 10700K 10th Gen Processor,31500৳,Add to Cart
Intel Core i7-11700 11th Gen Processor,29500৳,Add to Cart
AMD Ryzen 7 3700X Processor (bundle),27800৳,Add to Cart
AMD Ryzen 7 7700X Processor,38000৳,Add to Cart
Intel Core i5-12600K 12th Gen 10-Core 3.7 GHz LGA 1700 Processor (WITH PC),32500৳,Add to Cart
Intel Core i7-12700K 12th Gen Alder Lake 12-Core 3.6 GHz LGA 1700 Processor,38000৳,Add to Cart
Intel Core i9 9900K 9th Gen Processor,34000৳,Add to Cart
AMD Ryzen 7 7700 Gaming Processor,35000৳,Add to Cart
Intel 13th Gen Core i5 13600KF Raptor Lake Processor,35000৳,Add to Cart
AMD Ryzen 9 3900X Processor,39000৳,Add to Cart
Intel Core i9 11900K 11th Gen Rocket Lake Processor (BUNDLE),49500৳,Add to Cart
Intel 13th Gen Core i7 13700KF Raptor Lake Processor,44500৳,Add to Cart
AMD Ryzen 9 5900X Processor,42500৳,Add to Cart
Intel Core i9-12900KS 12th Gen Alder Lake Processor,73500৳,Add to Cart
AMD Ryzen 9 7950X Processor,65000৳,Add to Cart
Intel Core i7 13700 Processor,45000৳,Add to Cart
Intel Core i9-11900 2.5 GHz Eight-Core LGA 1200 Processor,42500৳,Add to Cart
Intel Core i9-12900K 3.2 GHz 16-Core LGA 1700 Processor,55000৳,Add to Cart
AMD Ryzen 7 7800X3D Gaming Processor,52500৳,Add to Cart
INTEL CORE I9 10900K 10TH GEN PROCESSOR (BULK),48200৳,Add to Cart
AMD RYZEN 9 5950X 16 CORE 32 THREAD AM4 PROCESSOR,62500৳,Add to Cart
Intel Core I9-13900K 13th Gen Raptor Lake Processor,68000৳,Add to Cart
AMD Ryzen 7 5800X 3D Processor,41500৳,Add to Cart
Intel Core i9 13900 13th Gen desktop processor,64000৳,Add to Cart
AMD Ryzen 9 7900X Processor,52000৳,Add to Cart
Intel Core i9-13900F Processor,61500৳,Add to Cart
INTEL CORE I7-13700K 13TH GEN RAPTOR LAKE PROCESSOR,48000৳,Add to Cart
AMD Ryzen 9 3950X Processor,44500৳,Add to Cart
Intel 13th Gen Core i9 13900KF Raptor Lake Processor,64000৳,Add to Cart
Intel Core i9-12900 12th Gen Alder Lake16-Core LGA 1700 Processor,58000৳,Add to Cart
AMD Ryzen 9 7950X3D Gaming Processor,76500৳,Add to Cart
Intel Core i9-12900KS 12th Gen Processor,73500৳,Add to Cart
